Year,"Total Area Sown (""Thousand"") Hect.",Area (Thousand) Hect.,Production (Thousand) Tons.,Index of Area Sown (Base year 2010-11),Index of Production (Base year 2010-11),% Share of Area Sown
2010-11,9065.6,959.4,29221.0,100.0,100.0,10.6
2011-12,8764.1,911.1,27467.9,95.0,94.0,10.4
2012-13,8910.2,898.1,26612.0,93.6,91.1,10.1
2013-14,9142.1,887.3,26497.5,92.5,90.7,9.7
2014-15,9226.5,886.2,26134.6,92.4,89.4,9.6
2015-16,9204.8,930.9,27585.2,97.0,94.4,10.1
2016-17,8964.3,937.5,27801.1,97.7,95.1,10.5
2017-18,9005.8,941.7,28036.8,98.2,95.9,10.5
2018-19,8975.6,973.1,29308.8,101.4,100.3,10.8
2019-20,9738.4,1519.9,84651.5,158.4,289.7,15.6
2020-21,9823.5,1532.0,93913.0,159.7,321.4,15.6
