Crop,Total in 2018-19,Irrigated in 2018-19,Total in 2019-20,Irrigated in 2019-20,Total in 2020-21,Irrigated 2020-21
I. Kharif Crops-Total,7473,6947,7699,7119,8288,8034
Rice,1904,1904,2029,2016,2394,2394
Jowar,212,126,235,151,83,53
Bajra,445,291,475,320,259,169
Maize,575,511,535,477,485,474
Moong,151,143,171,157,210,210
Mash,10,1,9,1,5,1
Til,71,63,121,109,177,176
Gowara Seed,86,44,94,45,47,22
Fodder,927,872,997,907,1893,1893
Vegetables,70,68,68,13,55,55
Cotton (American),1871,1871,1863,1863,1537,1537
Cotton (Desi),17,17,17,17,9,9
Sugarcane,711,711,643,643,777,777
Orchards,241,237,234,231,129,129
Other Kharif Crops,182,88,208,169,228,135
II. Rabi Crops-Total,9211,7789,10229,8682,9883,8224
Wheat,6496,5951,6515,5784,6746,6000
Gram,856,56,850,82,794,49
Barley,20,14,13,12,4,3
Maize,80,71,410,410,174,172
Masoor,8,1,4,3,7,1
Peas,8,8,16,15,20,19
Rape & Mustard,189,150,277,252,193,127
Fodder,973,963,1520,1509,1532,1532
Vegetables,280,278,314,301,119,119
Tobacco,19,19,22,22,26,26
Orchards,236,234,228,225,236,146
Other Rabi Crops,46,44,60,67,32,30
