City,pH,Moisture Content,Organic Matter,Drainage Profile
Adilpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Ahmadpur East,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Alipur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Arifwala,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Attock,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Badah,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Badin,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Bagarji,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bahawalnagar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bahawalpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bakshshapur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bandhi,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Barkhan,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Bela,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Berani,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bhag,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Bhakkar,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Bhalwal,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bhan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bhera,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bhiria City,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bhiria Road,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bhit Shah,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bozdar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Bulri,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Burewala,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chak,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chakwal,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Chaman,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Chambar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chichawatni,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chiniot,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chishtian Mandi,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chitkan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chohar Jamali,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Chor,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Dadu,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Daharki,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dalbandin,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Daro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Darya Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Darya Khan Mari,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Daska,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Daulatpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Daur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dera Allah Yar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dera Bugti,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Dera Ghazi Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dera Murad Jamali,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dhadar,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Dhoronaro,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Digri,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dina,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Dinga,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Dipalpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Diplo,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Dokri,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Duki,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Faisalabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Faqirabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Fateh Jang,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Gaddani,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Gambat,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Garello,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Garhi Khairo,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Garhi Yasin,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Ghakar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Gharo,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Ghauspur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Ghotki,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Gojra,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Golarchi,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Guddu,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Gujar Khan,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Gujranwala,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Gujrat,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Gulistan-E-Jauhar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Gwadar,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Hafizabad,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Hala,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Harnai,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Hasilpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Haveli,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Hingorja,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Hub,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Hyderabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Islamkot,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Jacobabad,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Jalalpur Jattan,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Jam Nawaz Ali,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jam Sahib,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jampur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jaranwala,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jati,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Jauharabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jhang,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jhelum,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jhol,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jhudo,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Jiwani,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Johi,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Kadhan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kalabagh,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Kalat,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Kamalia,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kambar,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Kamoke,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Kandhra,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kandiari,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kandiaro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Karachi,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Karampur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kario Ghanwar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Karoondi,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Karor Lal Esan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kashmor,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Kasur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kazi Ahmad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Keti Bandar,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Khadro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Khairpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Khairpur Nathan Shah,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Khandh Kot,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Khanewal,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Khanpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kharan,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Kharian,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Khipro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Khoski,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Khuhra,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Khuzdar,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Khyber,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kohlu,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Kot Diji,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kot Ghulam Mohammad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kotri,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kumb,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Kunri,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Lahore,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Lakhi,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Lalamusa,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Larkana,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Lodhran,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Loralai,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Mach,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Madeji,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Mailsi,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Malakwal,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Mandi Bahauddin,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Mastung,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Matiari,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Matli,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Mehar,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Mehrabpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Mianwali,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Miro Khan,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Mirpur Bathoro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Mirpur Khas,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Mirpur Mathelo,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Mirpur Sakro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Mirwah,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Mithi,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Moro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Multan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Muridke,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Murree,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Muzaffargarh,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Nabisar,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Nankana Sahib,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Narowal,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Nasarpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Nasirabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Naudero,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Naukot,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Naushahro Firoz,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Nawabshah,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Noorpur Thal,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Nowshera Virkan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Nushki,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Oderolal Station,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Okara,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Ormara,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Pacca Chang,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Padidan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pakpattan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pano Aqil,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pasni,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Pasrur,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Pattoki,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Perumal,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Phalia,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Phularwan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Phulji,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pind Dadan Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pindi Bhattian,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pindi Gheb,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Pirjo Goth,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Piryaloi,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Pishin,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Pithoro,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Qadirabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Qadirpur Ran,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Qila Disar Singh,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Qila Sobha Singh,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Quaidabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Quetta,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Rabwah,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Radhan,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Rahim Yar Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Raiwind,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Raja Jang,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Rajanpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Rajo Khanani,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Ranipur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Ratodero,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Rawalpindi,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Renala Khurd,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Rohri,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Rojhan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Rustam,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Saddar Gogera,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sadiqabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Saeedabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Safdarabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sahiwal,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sakrand,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Samaro,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Samasatta,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sambrial,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Sammundri,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sangala Hill,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sanghar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
