Year,Wheat,Rice,Maize,Cotton,Sugarcane,Others,Total
2008-09,1854.5,222.5,55.6,927.3,296.8,352.4,3709
2009-10,2180.2,261.6,65.4,1090.1,348.8,414.2,4360.4
2010-11,1965.8,236,59,983,314.5,373.5,3931.6
2011-12,1930.5,231.7,57.9,965.2,308.9,366.8,3860.9
2012-13,1810.8,217.3,54.3,905.4,289.7,344,3621.5
2013-14 ,2044.6,245.3,61.3,1022.3,327.1,388.5,4089.1
2014-15,2158.3,259,64.8,1079.2,345.3,410.1,4316.6
2015-16,1849.6,221.9,55.5,924.8,295.9,351.4,3699.2
2016-17,2519.9,302.4,75.6,1259.9,403.2,478.8,5039.9
2017-18,2381.3,285.8,71.4,1190.6,381,452.4,4762.5
