Source,Urban,Rural,Total,
 Punjab Local Government,42.5,11.0,22.4,
Punjab Non-Government,15.8,19.5,18.2,
Punjab Household rrself:,41.3,69.0,59.0,
Punjab Don't Know,0.4,0.4,0.4,
Punjab Total,100.0,100.0,100.0,
Sindh Local Government,63.8,9.8,36.5,
Sindh Non-Government,6.4,25.9,16.2,
Sindh Household rrself:,29.1,62.7,46.1,
Sindh Don't Know,0.7,1.6,1.2,
Sindh Total,100.0,100.0,100.0,
Kkyber Pakhtunkhawa • Local Government,47.0,25.9,29.8,
Kkyber Pakhtunkhawa • Non-Government,6.0,13.3,12.0,
Kkyber Pakhtunkhawa • Household rrself:,45.5,59.0,56.5,
Kkyber Pakhtunkhawa • Don't Know,1.5,1.8,1.8,
Kkyber Pakhtunkhawa • Total,100.0,100.0,100.0,
Local Government,69.5,22.5,36.1,
Balochistan Non-Government,7.3,40.6,30.9,
Balochistan Household rrself:,20.3,32.6,29.1,
Balochistan Don't Know,2.9,4.3,3.9,
Balochistan Total,100.0,100.0,100.0,
Total Local Government,49.8,13.9,27.0,
Total Non-Government,12.1,20.4,17.4,
Total Household rrself:,37.4,64.7,54.8,
Total Don't Know,0.7,1.0,0.9,
Total,100.0,100.0,100.0,
